Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Avg_InterPurchase_Interval,First_Time_Buyer
85,43,5,5059.32,3,At Risk,32.0,0
86,1,10,16794.14,2,Champions,52.44444444444444,0
87,85,3,1103.43,3,At Risk,147.5,0
88,80,6,13925.93,2,Champions,131.2,0
89,100,1,509.01,0,Lost Customers,72.0,1
90,2,39,12683.4,2,Champions,18.86842105263158,0
91,14,2,2906.85,1,Loyal Customers,125.0,0
92,683,2,1142.88,3,At Risk,43.0,0
93,462,2,859.2,0,Lost Customers,255.0,0
94,367,1,173.55,0,Lost Customers,72.0,1
95,3,1,172.06,1,Loyal Customers,72.0,1
96,732,1,485.31,0,Lost Customers,72.0,1
97,21,5,5005.46,2,Champions,37.25,0
98,22,2,434.98,1,Loyal Customers,398.0,0
99,58,1,1002.3100000000001,1,Loyal Customers,72.0,1
100,243,1,476.49,0,Lost Customers,72.0,1
101,44,1,449.45,1,Loyal Customers,72.0,1
102,22,6,4835.89,2,Champions,82.8,0
103,156,5,688.2,3,At Risk,79.0,0
104,11,8,12669.88,2,Champions,73.57142857142857,0
105,17,2,430.57,1,Loyal Customers,0.0,0
106,134,1,707.09,0,Lost Customers,72.0,1
107,56,5,16679.78,2,Champions,90.5,0
108,73,10,5879.95,2,Champions,71.44444444444444,0
109,44,3,3181.04,3,At Risk,104.5,0
110,66,8,2995.91,3,At Risk,52.142857142857146,0
111,71,4,1777.49,3,At Risk,138.33333333333334,0
112,605,1,454.36,0,Lost Customers,72.0,1
113,456,1,326.65,0,Lost Customers,72.0,1
114,94,2,826.88,3,At Risk,60.0,0
115,19,2,1189.59,1,Loyal Customers,284.0,0
116,53,4,1344.78,3,At Risk,62.0,0
117,10,8,1212.05,1,Loyal Customers,42.285714285714285,0
118,17,2,742.1899999999999,1,Loyal Customers,152.0,0
119,682,1,56.73,0,Lost Customers,72.0,1
120,423,1,132.8,0,Lost Customers,72.0,1
121,188,5,3670.74,3,At Risk,123.25,0
122,523,2,3070.54,3,At Risk,14.0,0
123,690,1,211.95,0,Lost Customers,72.0,1
124,2,79,39918.19,2,Champions,9.207792207792208,0
125,32,19,16249.289999999999,2,Champions,37.77777777777778,0
126,29,5,3928.0499999999997,2,Champions,40.25,0
127,17,31,12372.75,2,Champions,21.133333333333333,0
128,54,2,1149.64,1,Loyal Customers,356.0,0
129,16,23,14083.91,2,Champions,21.727272727272727,0
130,23,9,20276.37,2,Champions,74.75,0
131,4,1,680.99,1,Loyal Customers,72.0,1
132,11,1,527.2,1,Loyal Customers,72.0,1
133,28,7,5464.85,2,Champions,79.5,0
134,23,15,12185.51,2,Champions,41.285714285714285,0
135,576,29,23691.4,2,Champions,2.8461538461538463,0
136,17,19,5097.18,2,Champions,36.166666666666664,0
137,33,12,6354.1,2,Champions,58.54545454545455,0
138,529,1,708.1,0,Lost Customers,72.0,1
139,432,1,1037.28,0,Lost Customers,72.0,1
140,731,1,285.29999999999995,0,Lost Customers,72.0,1
141,10,3,1298.66,1,Loyal Customers,32.5,0
142,336,1,334.93,0,Lost Customers,72.0,1
143,5,21,9823.64,2,Champions,36.25,0
144,39,1,460.40000000000003,1,Loyal Customers,72.0,1
145,63,3,715.21,1,Loyal Customers,169.5,0
146,166,2,433.74,0,Lost Customers,31.0,0
147,16,9,1815.27,2,Champions,69.375,0
148,641,1,357.4,0,Lost Customers,72.0,1
149,620,2,45.34,0,Lost Customers,0.0,0
150,82,3,6248.5,3,At Risk,281.0,0
151,21,3,403.70000000000005,1,Loyal Customers,18.0,0
152,560,1,393.72,0,Lost Customers,72.0,1
153,23,19,5955.21,2,Champions,35.72222222222222,0
154,337,1,2169.39,3,At Risk,72.0,1
155,96,5,3723.87,3,At Risk,53.25,0
156,584,1,1126.0,0,Lost Customers,72.0,1
157,18,4,779.05,1,Loyal Customers,192.33333333333334,0
158,409,1,955.2,0,Lost Customers,72.0,1
159,233,1,73.5,0,Lost Customers,72.0,1
160,134,4,1844.06,3,At Risk,150.0,0
161,26,2,397.88,1,Loyal Customers,2.0,0
162,284,1,176.5,0,Lost Customers,72.0,1
163,143,9,5178.02,3,At Risk,73.5,0
164,429,1,3084.02,3,At Risk,72.0,1
165,66,2,132.18,0,Lost Customers,0.0,0
166,113,1,612.29,0,Lost Customers,72.0,1
167,267,2,1597.76,3,At Risk,374.0,0
168,353,1,383.7,0,Lost Customers,72.0,1
169,78,4,2648.62,3,At Risk,173.33333333333334,0
170,28,5,2481.6,1,Loyal Customers,40.0,0
171,1,5,2056.89,1,Loyal Customers,27.0,0
172,64,2,716.54,1,Loyal Customers,413.0,0
173,79,5,2634.26,3,At Risk,48.25,0
174,143,1,599.68,0,Lost Customers,72.0,1
175,39,2,192.72,1,Loyal Customers,12.0,0
176,19,23,4352.35,2,Champions,31.863636363636363,0
177,9,17,11126.11,2,Champions,40.875,0
178,498,3,973.73,3,At Risk,74.0,0
179,1,3,1316.66,1,Loyal Customers,46.5,0
180,82,5,735.51,3,At Risk,111.25,0
181,9,6,1933.48,1,Loyal Customers,60.4,0
182,528,1,316.48,0,Lost Customers,72.0,1
183,60,9,3759.26,2,Champions,72.375,0
184,15,2,1933.2,1,Loyal Customers,671.0,0
185,30,1,349.83000000000004,1,Loyal Customers,72.0,1
186,628,2,1367.89,3,At Risk,110.0,0
187,131,1,1089.18,0,Lost Customers,72.0,1
188,92,2,716.35,1,Loyal Customers,94.0,0
189,43,3,12601.830000000002,3,At Risk,7.5,0
190,409,1,732.94,0,Lost Customers,72.0,1
191,29,2,640.45,1,Loyal Customers,349.0,0
192,22,7,11214.75,2,Champions,115.16666666666667,0
193,20,33,22254.49,2,Champions,21.75,0
194,30,3,981.18,1,Loyal Customers,125.0,0
195,484,2,481.88,0,Lost Customers,156.0,0
196,448,1,980.25,0,Lost Customers,72.0,1
197,36,1,372.7,1,Loyal Customers,72.0,1
198,75,2,1000.39,1,Loyal Customers,184.0,0
199,47,2,1161.5,1,Loyal Customers,31.0,0
200,198,3,383.58,0,Lost Customers,150.5,0
201,166,1,95.19999999999999,0,Lost Customers,72.0,1
202,576,6,1575.68,3,At Risk,24.0,0
203,79,1,964.83,1,Loyal Customers,72.0,1
204,358,1,168.0,0,Lost Customers,72.0,1
205,39,2,437.82,1,Loyal Customers,0.0,0
206,8,12,4608.75,2,Champions,37.18181818181818,0
207,449,1,468.5,0,Lost Customers,72.0,1
208,682,1,129.23,0,Lost Customers,72.0,1
209,50,2,599.56,1,Loyal Customers,100.0,0
210,16,8,18096.14,2,Champions,100.42857142857143,0
211,8,1,269.96,1,Loyal Customers,72.0,1
212,311,2,561.71,0,Lost Customers,8.0,0
213,5,3,2134.01,1,Loyal Customers,68.0,0
214,303,1,238.85,0,Lost Customers,72.0,1
215,8,9,4966.92,2,Champions,53.0,0
216,409,1,249.24,0,Lost Customers,72.0,1
217,261,1,456.9,0,Lost Customers,72.0,1
218,289,1,145.92,0,Lost Customers,72.0,1
219,86,1,351.65,0,Lost Customers,72.0,1
220,23,15,11767.48,2,Champions,45.5,0
221,645,1,70.0,0,Lost Customers,72.0,1
222,2,32,4124.69,2,Champions,8.172413793103448,0
223,682,1,77.52,0,Lost Customers,72.0,1
224,40,2,519.61,1,Loyal Customers,81.0,0
225,9,2,1020.42,1,Loyal Customers,43.0,0
226,227,5,717.41,3,At Risk,58.75,0
227,316,1,218.45,0,Lost Customers,72.0,1
228,457,2,622.8199999999999,0,Lost Customers,69.0,0
229,36,8,2142.72,2,Champions,60.875,0
230,35,8,1617.1,3,At Risk,99.85714285714286,0
231,21,4,4642.45,1,Loyal Customers,140.0,0
232,78,1,440.42,0,Lost Customers,72.0,1
233,247,2,1052.9,3,At Risk,329.0,0
234,40,1,197.71,1,Loyal Customers,72.0,1
235,239,4,1980.4,3,At Risk,112.66666666666667,0
236,3,27,13591.58,2,Champions,27.615384615384617,0
237,4,9,2338.15,2,Champions,34.0,0
238,234,2,2040.1,3,At Risk,117.0,0
239,17,4,2062.67,1,Loyal Customers,235.0,0
240,8,1,144.0,1,Loyal Customers,72.0,1
241,39,4,958.78,1,Loyal Customers,186.0,0
242,29,8,4695.66,2,Champions,94.14285714285714,0
243,211,2,9864.26,3,At Risk,0.0,0
244,317,3,1338.95,3,At Risk,45.5,0
245,92,5,2582.66,3,At Risk,106.5,0
246,109,3,418.09999999999997,0,Lost Customers,55.0,0
247,38,15,5090.110000000001,2,Champions,43.0,0
248,505,1,299.02,0,Lost Customers,72.0,1
249,51,2,618.27,1,Loyal Customers,190.0,0
250,19,4,3811.22,1,Loyal Customers,82.66666666666667,0
251,10,11,4534.09,2,Champions,63.4,0
252,29,13,2296.72,2,Champions,45.083333333333336,0
253,29,21,4967.42,2,Champions,34.7,0
254,190,6,681.26,3,At Risk,42.4,0
255,59,1,153.12,0,Lost Customers,72.0,1
256,22,1,739.1999999999999,1,Loyal Customers,72.0,1
257,79,2,254.18,0,Lost Customers,182.0,0
258,376,4,1232.95,3,At Risk,27.0,0
259,682,1,21.0,0,Lost Customers,72.0,1
260,60,1,1579.51,1,Loyal Customers,72.0,1
261,405,1,415.79,0,Lost Customers,72.0,1
262,78,9,3435.86,3,At Risk,79.875,0
263,23,5,2099.54,1,Loyal Customers,25.25,0
264,52,1,1193.32,1,Loyal Customers,72.0,1
265,74,1,704.0400000000001,1,Loyal Customers,72.0,1
266,57,10,6817.37,2,Champions,73.88888888888889,0
267,278,1,315.6,0,Lost Customers,72.0,1
268,2,8,5740.98,2,Champions,89.57142857142857,0
269,95,3,1131.1,3,At Risk,146.5,0
270,29,1,352.98,1,Loyal Customers,72.0,1
271,22,1,177.31,1,Loyal Customers,72.0,1
272,16,10,3781.38,2,Champions,60.22222222222222,0
273,15,3,1339.41,1,Loyal Customers,94.5,0
274,2,35,24311.2,2,Champions,19.08823529411765,0
275,232,1,180.1,0,Lost Customers,72.0,1
276,276,7,3747.84,3,At Risk,69.66666666666667,0
277,106,2,641.13,3,At Risk,71.0,0
278,212,4,5164.88,3,At Risk,127.66666666666667,0
279,23,9,6620.48,2,Champions,37.5,0
280,11,7,4478.53,2,Champions,21.166666666666668,0
281,4,3,786.46,1,Loyal Customers,29.5,0
282,386,2,1558.22,3,At Risk,37.0,0
283,10,2,1270.88,1,Loyal Customers,34.0,0
284,57,6,3481.57,3,At Risk,105.66666666666667,0
285,521,2,804.88,0,Lost Customers,44.0,0
286,59,7,5678.16,2,Champions,77.33333333333333,0
287,536,2,490.0,0,Lost Customers,12.0,0
288,90,4,2930.41,3,At Risk,122.0,0
289,739,1,141.0,0,Lost Customers,72.0,1
290,67,12,8283.81,2,Champions,39.25,0
291,33,2,921.49,1,Loyal Customers,606.0,0
292,239,3,1312.37,3,At Risk,194.5,0
293,24,3,1174.58,1,Loyal Customers,28.5,0
294,115,1,185.9,0,Lost Customers,72.0,1
295,25,3,1013.26,1,Loyal Customers,41.0,0
296,128,12,8304.82,2,Champions,43.36363636363637,0
297,130,4,1918.49,3,At Risk,188.0,0
298,34,8,3539.3,2,Champions,78.75,0
299,5,2,1346.97,1,Loyal Customers,44.0,0
300,22,36,16955.55,2,Champions,19.235294117647058,0
301,155,4,1112.0,3,At Risk,182.0,0
302,107,8,2294.65,3,At Risk,83.71428571428571,0
303,3,1,314.44,1,Loyal Customers,72.0,1
304,335,4,377.75,0,Lost Customers,43.333333333333336,0
305,331,2,1017.03,3,At Risk,102.0,0
306,149,3,4160.83,3,At Risk,188.5,0
307,11,5,601.98,1,Loyal Customers,70.75,0
308,424,1,261.35,0,Lost Customers,72.0,1
309,17,8,6407.83,2,Champions,77.42857142857143,0
310,11,4,1643.18,1,Loyal Customers,22.0,0
311,19,1,686.05,1,Loyal Customers,72.0,1
312,30,1,91.68,1,Loyal Customers,72.0,1
313,11,1,245.1,1,Loyal Customers,72.0,1
314,436,1,162.0,0,Lost Customers,72.0,1
315,1,20,6726.54,2,Champions,31.94736842105263,0
316,625,2,239.4,0,Lost Customers,43.0,0
317,8,11,6070.04,2,Champions,71.3,0
318,325,3,313.6,0,Lost Customers,171.5,0
319,394,1,1248.42,0,Lost Customers,72.0,1
320,58,1,620.13,1,Loyal Customers,72.0,1
321,12,10,11383.03,2,Champions,66.1,0
322,151,3,2744.0299999999997,3,At Risk,52.5,0
323,10,7,3760.29,2,Champions,109.0,0
324,606,1,2622.481,3,At Risk,72.0,1
325,330,2,437.05,0,Lost Customers,265.0,0
326,5,3,1230.02,1,Loyal Customers,198.0,0
327,39,4,1970.6,1,Loyal Customers,56.333333333333336,0
328,554,2,957.25,0,Lost Customers,24.0,0
329,25,11,2843.09,2,Champions,45.5,0
330,555,2,395.1,0,Lost Customers,111.0,0
331,42,21,34281.18,2,Champions,32.4,0
332,59,4,1113.02,3,At Risk,74.33333333333333,0
333,1,4,880.81,1,Loyal Customers,37.0,0
334,15,45,29834.76,2,Champions,15.704545454545455,0
335,4,52,22950.22,2,Champions,13.901960784313726,0
336,4,21,11633.7,2,Champions,35.7,0
337,8,7,2283.63,2,Champions,33.833333333333336,0
338,28,6,2863.08,2,Champions,12.6,0
339,372,1,89.14,0,Lost Customers,72.0,1
340,481,2,2138.91,3,At Risk,0.0,0
341,114,1,4873.8099999999995,3,At Risk,72.0,1
342,26,2,1247.61,1,Loyal Customers,101.0,0
343,206,1,389.01,0,Lost Customers,72.0,1
344,28,7,1170.4,1,Loyal Customers,65.0,0
345,637,1,110.95,0,Lost Customers,72.0,1
346,127,7,1703.02,3,At Risk,65.33333333333333,0
347,70,3,1843.35,3,At Risk,174.5,0
348,7,7,1407.1200000000001,1,Loyal Customers,109.16666666666667,0
349,435,2,851.91,0,Lost Customers,74.0,0
350,29,3,957.59,1,Loyal Customers,69.5,0
351,590,1,339.75,0,Lost Customers,72.0,1
352,418,1,638.11,0,Lost Customers,72.0,1
353,8,4,4939.99,2,Champions,68.66666666666667,0
354,80,6,2446.41,3,At Risk,110.0,0
355,20,1,219.0,1,Loyal Customers,72.0,1
356,71,4,1006.53,3,At Risk,204.0,0
357,7,8,2340.84,2,Champions,22.571428571428573,0
358,15,14,11762.1,2,Champions,39.46153846153846,0
359,292,1,603.42,0,Lost Customers,72.0,1
360,30,18,5117.66,2,Champions,40.1764705882353,0
361,15,34,30291.76,2,Champions,21.84375,0
362,97,3,1149.02,3,At Risk,51.5,0
363,612,2,1339.05,3,At Risk,65.0,0
364,29,21,6723.03,2,Champions,34.6,0
365,1,1,848.55,1,Loyal Customers,72.0,1
366,9,12,14093.71,2,Champions,65.45454545454545,0
367,106,1,343.36,0,Lost Customers,72.0,1
368,4,2,1053.49,1,Loyal Customers,129.0,0
369,151,3,1308.91,3,At Risk,219.0,0
370,71,1,238.25,0,Lost Customers,72.0,1
371,5,2,644.95,1,Loyal Customers,59.0,0
372,3,30,7787.28,2,Champions,17.0,0
373,32,8,4013.08,2,Champions,62.285714285714285,0
374,85,4,997.63,3,At Risk,21.0,0
375,4,5,725.07,1,Loyal Customers,15.0,0
376,5,7,2317.52,2,Champions,87.83333333333333,0
377,371,4,2266.76,3,At Risk,70.66666666666667,0
378,28,11,4014.6,2,Champions,59.0,0
379,11,10,5679.53,2,Champions,71.11111111111111,0
380,71,5,1070.17,3,At Risk,77.75,0
381,114,1,453.01,0,Lost Customers,72.0,1
382,522,1,829.25,0,Lost Customers,72.0,1
383,24,17,25775.71,2,Champions,38.5625,0
384,180,1,236.26000000000002,0,Lost Customers,72.0,1
385,234,4,2424.87,3,At Risk,151.33333333333334,0
386,353,3,639.65,3,At Risk,19.5,0
387,315,2,779.5699999999999,0,Lost Customers,21.0,0
388,333,1,234.0,0,Lost Customers,72.0,1
389,499,2,3710.5,3,At Risk,0.0,0
390,372,1,155.35,0,Lost Customers,72.0,1
391,78,4,2726.73,3,At Risk,104.66666666666667,0
392,64,1,427.6,1,Loyal Customers,72.0,1
393,529,2,406.07,0,Lost Customers,3.0,0
394,626,1,1201.52,0,Lost Customers,72.0,1
395,134,2,540.13,0,Lost Customers,0.0,0
396,52,11,25317.06,2,Champions,53.6,0
397,487,3,925.41,3,At Risk,97.5,0
398,541,1,254.55,0,Lost Customers,72.0,1
399,2,26,8898.48,2,Champions,28.84,0
400,1,336,53539.64,2,Champions,1.8095238095238095,0
401,4,9,6897.36,2,Champions,64.125,0
402,129,1,275.88,0,Lost Customers,72.0,1
403,445,1,268.27,0,Lost Customers,72.0,1
404,81,1,4366.78,3,At Risk,72.0,1
405,23,6,21429.39,2,Champions,67.4,0
406,236,3,3010.74,3,At Risk,24.0,0
407,281,11,5236.259999999999,3,At Risk,40.9,0
408,87,1,112.07999999999998,0,Lost Customers,72.0,1
409,16,13,7834.650000000001,2,Champions,15.833333333333334,0
410,117,7,9903.24,3,At Risk,103.16666666666667,0
411,52,8,5020.74,2,Champions,97.14285714285714,0
412,456,1,347.8,0,Lost Customers,72.0,1
413,458,2,782.95,0,Lost Customers,7.0,0
414,8,2,1898.52,1,Loyal Customers,17.0,0
415,138,2,494.08,0,Lost Customers,230.0,0
416,317,1,1693.88,3,At Risk,72.0,1
417,472,6,1404.58,3,At Risk,33.4,0
418,4,9,8918.99,2,Champions,50.125,0
419,376,1,949.82,0,Lost Customers,72.0,1
420,451,1,168.69000000000003,0,Lost Customers,72.0,1
421,239,1,1143.6,0,Lost Customers,72.0,1
422,211,2,3246.45,3,At Risk,245.0,0
423,486,1,282.3,0,Lost Customers,72.0,1
424,60,1,892.47,1,Loyal Customers,72.0,1
425,564,1,124.25,0,Lost Customers,72.0,1
426,536,1,98.7,0,Lost Customers,72.0,1
427,17,7,1686.12,1,Loyal Customers,64.83333333333333,0
428,668,1,55.5,0,Lost Customers,72.0,1
429,458,1,519.45,0,Lost Customers,72.0,1
430,20,9,1775.68,2,Champions,72.375,0
431,38,14,6474.11,2,Champions,53.30769230769231,0
432,599,1,337.4,0,Lost Customers,72.0,1
433,64,2,826.74,1,Loyal Customers,221.0,0
434,5,11,4618.24,2,Champions,50.8,0
435,2,6,2225.91,2,Champions,14.2,0
436,9,3,1763.15,1,Loyal Customers,259.5,0
437,364,3,1100.4,3,At Risk,183.0,0
438,610,1,728.5,0,Lost Customers,72.0,1
439,10,4,862.18,1,Loyal Customers,134.0,0
440,463,4,444.9,0,Lost Customers,21.333333333333332,0
441,65,3,273.35,1,Loyal Customers,314.0,0
442,192,2,591.85,0,Lost Customers,218.0,0
443,374,6,863.51,3,At Risk,49.8,0
444,257,2,827.01,3,At Risk,278.0,0
445,335,3,885.53,3,At Risk,33.0,0
446,53,2,860.41,1,Loyal Customers,45.0,0
447,19,1,430.48,1,Loyal Customers,72.0,1
448,628,1,381.0,0,Lost Customers,72.0,1
449,366,2,552.08,0,Lost Customers,58.0,0
450,10,4,8510.93,2,Champions,136.66666666666666,0
451,529,1,219.35,0,Lost Customers,72.0,1
452,470,3,584.25,0,Lost Customers,103.0,0
453,501,1,1071.82,0,Lost Customers,72.0,1
454,187,7,2416.42,3,At Risk,62.5,0
455,393,1,1092.81,0,Lost Customers,72.0,1
456,466,2,325.37,0,Lost Customers,34.0,0
457,382,4,1434.95,3,At Risk,97.33333333333333,0
458,435,4,2878.96,3,At Risk,50.666666666666664,0
459,383,1,330.35,0,Lost Customers,72.0,1
460,37,5,776.7,1,Loyal Customers,106.0,0
461,178,3,1755.94,3,At Risk,234.0,0
462,535,2,534.99,0,Lost Customers,142.0,0
463,261,5,1033.9,3,At Risk,41.0,0
464,45,1,229.64000000000001,1,Loyal Customers,72.0,1
465,502,3,1687.8,3,At Risk,95.0,0
466,102,1,125.92,0,Lost Customers,72.0,1
467,148,2,1063.46,3,At Risk,50.0,0
468,96,2,572.2,1,Loyal Customers,80.0,0
469,281,3,690.98,3,At Risk,76.0,0
470,262,1,1542.08,3,At Risk,72.0,1
471,458,1,540.52,0,Lost Customers,72.0,1
472,3,11,2689.52,2,Champions,72.6,0
473,214,2,220.8,0,Lost Customers,397.0,0
474,71,2,948.88,1,Loyal Customers,16.0,0
475,75,18,6501.5,2,Champions,35.1764705882353,0
476,60,1,397.12,1,Loyal Customers,72.0,1
477,521,2,518.63,0,Lost Customers,120.0,0
478,3,12,2800.75,2,Champions,64.9090909090909,0
479,6,3,430.15000000000003,1,Loyal Customers,19.0,0
480,3,6,1018.71,1,Loyal Customers,25.0,0
481,337,3,385.3,0,Lost Customers,106.0,0
482,38,6,6814.64,2,Champions,26.2,0
483,262,3,451.11,0,Lost Customers,100.0,0
484,32,2,383.03,1,Loyal Customers,65.0,0
485,145,1,417.38,0,Lost Customers,72.0,1
486,283,1,312.38,0,Lost Customers,72.0,1
487,428,41,5996.83,2,Champions,7.048780487804878,0
488,59,15,6559.7300000000005,2,Champions,44.8,0
489,173,2,662.66,0,Lost Customers,396.0,0
490,34,10,2975.91,2,Champions,61.55555555555556,0
491,3,26,9669.12,2,Champions,28.8,0
492,144,7,4041.97,3,At Risk,87.83333333333333,0
493,5,40,6958.2,2,Champions,13.052631578947368,0
494,70,4,1917.99,3,At Risk,222.33333333333334,0
495,66,30,6583.36,2,Champions,22.310344827586206,0
496,29,4,648.6,1,Loyal Customers,187.66666666666666,0
497,267,4,354.09,0,Lost Customers,7.333333333333333,0
498,682,1,15.58,0,Lost Customers,72.0,1
499,22,2,1609.0,1,Loyal Customers,365.0,0
500,676,1,208.0,0,Lost Customers,72.0,1
501,31,6,3042.47,2,Champions,111.6,0
502,446,1,330.0,0,Lost Customers,72.0,1
503,97,2,280.76,0,Lost Customers,380.0,0
504,295,1,311.55,0,Lost Customers,72.0,1
505,135,11,3907.5,3,At Risk,53.4,0
506,79,7,2970.9700000000003,3,At Risk,107.83333333333333,0
507,373,4,612.84,3,At Risk,9.333333333333334,0
508,8,6,2170.78,1,Loyal Customers,10.8,0
509,211,6,3688.0,3,At Risk,94.0,0
510,383,1,147.27,0,Lost Customers,72.0,1
511,459,1,575.1,0,Lost Customers,72.0,1
512,693,1,54.22,0,Lost Customers,72.0,1
513,620,1,68.25,0,Lost Customers,72.0,1
514,426,2,984.62,3,At Risk,69.0,0
515,52,6,2792.5499999999997,3,At Risk,106.8,0
516,138,2,299.57,0,Lost Customers,369.0,0
517,26,4,3323.47,1,Loyal Customers,149.66666666666666,0
518,283,3,1227.35,3,At Risk,109.0,0
519,26,13,7829.26,2,Champions,57.5,0
520,186,8,2043.76,3,At Risk,29.142857142857142,0
521,682,1,337.66999999999996,0,Lost Customers,72.0,1
522,375,3,1676.95,3,At Risk,124.0,0
523,84,3,744.02,3,At Risk,177.5,0
524,327,12,3283.96,3,At Risk,36.72727272727273,0
525,282,3,2027.3,3,At Risk,199.5,0
526,385,2,948.42,3,At Risk,169.0,0
527,143,5,1356.99,3,At Risk,138.25,0
528,58,4,4081.79,3,At Risk,177.0,0
529,4,20,2942.14,2,Champions,35.578947368421055,0
530,236,2,854.99,3,At Risk,29.0,0
531,45,3,573.22,1,Loyal Customers,23.0,0
532,382,2,640.13,0,Lost Customers,192.0,0
533,276,1,298.0,0,Lost Customers,72.0,1
534,9,2,1463.04,1,Loyal Customers,24.0,0
535,25,4,703.47,1,Loyal Customers,21.333333333333332,0
536,88,1,309.05,0,Lost Customers,72.0,1
537,63,3,1175.22,3,At Risk,30.0,0
538,68,2,1378.4,1,Loyal Customers,151.0,0
539,384,1,222.4,0,Lost Customers,72.0,1
540,214,2,354.12,0,Lost Customers,41.0,0
