Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Group,Total_Score
69,657,1,202.56,1,1,1,111,3
70,3,20,6797.41,5,5,5,555,15
71,113,4,2021.2,3,3,4,334,10
72,386,2,503.01,2,2,2,222,6
73,64,1,600.39,3,1,2,312,6
74,16,6,1098.6,5,4,3,543,12
75,96,17,5231.8,3,5,5,355,13
76,1,10,2622.39,5,5,4,554,14
77,163,4,3340.03,3,3,5,335,11
78,78,2,1741.41,3,2,4,324,9
79,195,2,1345.21,2,2,4,224,8
80,22,3,825.8,4,3,3,433,10
81,26,9,7956.46,4,5,5,455,14
82,9,8,6204.41,5,4,5,545,14
83,43,1,256.4,4,1,1,411,6
84,36,27,10432.22,4,5,5,455,14
85,43,5,5059.32,4,4,5,445,13
86,1,10,16794.14,5,5,5,555,15
87,85,3,1103.43,3,3,3,333,9
88,80,6,13925.93,3,4,5,345,12
89,100,1,509.01,3,1,2,312,6
90,2,39,12683.4,5,5,5,555,15
91,14,2,2906.85,5,2,4,524,11
92,683,2,1142.88,1,2,3,123,6
93,462,2,859.2,1,2,3,123,6
94,367,1,173.55,2,1,1,211,4
95,3,1,172.06,5,1,1,511,7
96,732,1,485.31,1,1,2,112,4
97,21,5,5005.46,4,4,5,445,13
98,22,2,434.98,4,2,2,422,8
99,58,1,1002.3100000000001,4,1,3,413,8
100,243,1,476.49,2,1,2,212,5
101,44,1,449.45,4,1,2,412,7
102,22,6,4835.89,4,4,5,445,13
103,156,5,688.2,3,4,3,343,10
104,11,8,12669.88,5,4,5,545,14
105,17,2,430.57,5,2,2,522,9
106,134,1,707.09,3,1,3,313,7
107,56,5,16679.78,4,4,5,445,13
108,73,10,5879.95,3,5,5,355,13
109,44,3,3181.04,4,3,5,435,12
110,66,8,2995.91,3,4,5,345,12
111,71,4,1777.49,3,3,4,334,10
112,605,1,454.36,1,1,2,112,4
113,456,1,326.65,1,1,2,112,4
114,94,2,826.88,3,2,3,323,8
115,19,2,1189.59,5,2,3,523,10
116,53,4,1344.78,4,3,4,434,11
117,10,8,1212.05,5,4,3,543,12
118,17,2,742.1899999999999,5,2,3,523,10
119,682,1,56.73,1,1,1,111,3
120,423,1,132.8,1,1,1,111,3
121,188,5,3670.74,3,4,5,345,12
122,523,2,3070.54,1,2,5,125,8
123,690,1,211.95,1,1,1,111,3
124,2,79,39918.19,5,5,5,555,15
125,32,19,16249.289999999999,4,5,5,455,14
126,29,5,3928.0499999999997,4,4,5,445,13
127,17,31,12372.75,5,5,5,555,15
128,54,2,1149.64,4,2,3,423,9
129,16,23,14083.91,5,5,5,555,15
130,23,9,20276.37,4,5,5,455,14
131,4,1,680.99,5,1,3,513,9
132,11,1,527.2,5,1,2,512,8
133,28,7,5464.85,4,4,5,445,13
134,23,15,12185.51,4,5,5,455,14
135,576,29,23691.4,1,5,5,155,11
136,17,19,5097.18,5,5,5,555,15
137,33,12,6354.1,4,5,5,455,14
138,529,1,708.1,1,1,3,113,5
139,432,1,1037.28,1,1,3,113,5
140,731,1,285.29999999999995,1,1,1,111,3
141,10,3,1298.66,5,3,4,534,12
142,336,1,334.93,2,1,2,212,5
143,5,21,9823.64,5,5,5,555,15
144,39,1,460.40000000000003,4,1,2,412,7
145,63,3,715.21,3,3,3,333,9
146,166,2,433.74,3,2,2,322,7
147,16,9,1815.27,5,5,4,554,14
148,641,1,357.4,1,1,2,112,4
149,620,2,45.34,1,2,1,121,4
150,82,3,6248.5,3,3,5,335,11
151,21,3,403.70000000000005,4,3,2,432,9
152,560,1,393.72,1,1,2,112,4
153,23,19,5955.21,4,5,5,455,14
154,337,1,2169.39,2,1,4,214,7
155,96,5,3723.87,3,4,5,345,12
156,584,1,1126.0,1,1,3,113,5
157,18,4,779.05,5,3,3,533,11
158,409,1,955.2,2,1,3,213,6
159,233,1,73.5,2,1,1,211,4
160,134,4,1844.06,3,3,4,334,10
161,26,2,397.88,4,2,2,422,8
162,284,1,176.5,2,1,1,211,4
163,143,9,5178.02,3,5,5,355,13
164,429,1,3084.02,1,1,5,115,7
165,66,2,132.18,3,2,1,321,6
166,113,1,612.29,3,1,3,313,7
167,267,2,1597.76,2,2,4,224,8
168,353,1,383.7,2,1,2,212,5
169,78,4,2648.62,3,3,4,334,10
170,28,5,2481.6,4,4,4,444,12
171,1,5,2056.89,5,4,4,544,13
172,64,2,716.54,3,2,3,323,8
173,79,5,2634.26,3,4,4,344,11
174,143,1,599.68,3,1,2,312,6
175,39,2,192.72,4,2,1,421,7
176,19,23,4352.35,5,5,5,555,15
177,9,17,11126.11,5,5,5,555,15
178,498,3,973.73,1,3,3,133,7
179,1,3,1316.66,5,3,4,534,12
180,82,5,735.51,3,4,3,343,10
181,9,6,1933.48,5,4,4,544,13
182,528,1,316.48,1,1,2,112,4
183,60,9,3759.26,3,5,5,355,13
184,15,2,1933.2,5,2,4,524,11
185,30,1,349.83000000000004,4,1,2,412,7
186,628,2,1367.89,1,2,4,124,7
187,131,1,1089.18,3,1,3,313,7
188,92,2,716.35,3,2,3,323,8
189,43,3,12601.830000000002,4,3,5,435,12
190,409,1,732.94,2,1,3,213,6
191,29,2,640.45,4,2,3,423,9
192,22,7,11214.75,4,4,5,445,13
193,20,33,22254.49,4,5,5,455,14
194,30,3,981.18,4,3,3,433,10
195,484,2,481.88,1,2,2,122,5
196,448,1,980.25,1,1,3,113,5
197,36,1,372.7,4,1,2,412,7
198,75,2,1000.39,3,2,3,323,8
199,47,2,1161.5,4,2,3,423,9
200,198,3,383.58,2,3,2,232,7
201,166,1,95.19999999999999,3,1,1,311,5
202,576,6,1575.68,1,4,4,144,9
203,79,1,964.83,3,1,3,313,7
204,358,1,168.0,2,1,1,211,4
205,39,2,437.82,4,2,2,422,8
206,8,12,4608.75,5,5,5,555,15
207,449,1,468.5,1,1,2,112,4
208,682,1,129.23,1,1,1,111,3
209,50,2,599.56,4,2,2,422,8
210,16,8,18096.14,5,4,5,545,14
211,8,1,269.96,5,1,1,511,7
212,311,2,561.71,2,2,2,222,6
213,5,3,2134.01,5,3,4,534,12
214,303,1,238.85,2,1,1,211,4
215,8,9,4966.92,5,5,5,555,15
216,409,1,249.24,2,1,1,211,4
217,261,1,456.9,2,1,2,212,5
218,289,1,145.92,2,1,1,211,4
219,86,1,351.65,3,1,2,312,6
220,23,15,11767.48,4,5,5,455,14
221,645,1,70.0,1,1,1,111,3
222,2,32,4124.69,5,5,5,555,15
223,682,1,77.52,1,1,1,111,3
224,40,2,519.61,4,2,2,422,8
225,9,2,1020.42,5,2,3,523,10
226,227,5,717.41,2,4,3,243,9
227,316,1,218.45,2,1,1,211,4
228,457,2,622.8199999999999,1,2,3,123,6
229,36,8,2142.72,4,4,4,444,12
230,35,8,1617.1,4,4,4,444,12
231,21,4,4642.45,4,3,5,435,12
232,78,1,440.42,3,1,2,312,6
233,247,2,1052.9,2,2,3,223,7
234,40,1,197.71,4,1,1,411,6
235,239,4,1980.4,2,3,4,234,9
236,3,27,13591.58,5,5,5,555,15
237,4,9,2338.15,5,5,4,554,14
238,234,2,2040.1,2,2,4,224,8
239,17,4,2062.67,5,3,4,534,12
240,8,1,144.0,5,1,1,511,7
241,39,4,958.78,4,3,3,433,10
242,29,8,4695.66,4,4,5,445,13
243,211,2,9864.26,2,2,5,225,9
244,317,3,1338.95,2,3,4,234,9
245,92,5,2582.66,3,4,4,344,11
246,109,3,418.09999999999997,3,3,2,332,8
247,38,15,5090.110000000001,4,5,5,455,14
248,505,1,299.02,1,1,2,112,4
249,51,2,618.27,4,2,3,423,9
250,19,4,3811.22,5,3,5,535,13
251,10,11,4534.09,5,5,5,555,15
252,29,13,2296.72,4,5,4,454,13
253,29,21,4967.42,4,5,5,455,14
254,190,6,681.26,2,4,3,243,9
255,59,1,153.12,4,1,1,411,6
256,22,1,739.1999999999999,4,1,3,413,8
257,79,2,254.18,3,2,1,321,6
258,376,4,1232.95,2,3,4,234,9
259,682,1,21.0,1,1,1,111,3
260,60,1,1579.51,3,1,4,314,8
261,405,1,415.79,2,1,2,212,5
262,78,9,3435.86,3,5,5,355,13
263,23,5,2099.54,4,4,4,444,12
264,52,1,1193.32,4,1,3,413,8
265,74,1,704.0400000000001,3,1,3,313,7
266,57,10,6817.37,4,5,5,455,14
267,278,1,315.6,2,1,2,212,5
268,2,8,5740.98,5,4,5,545,14
269,95,3,1131.1,3,3,3,333,9
270,29,1,352.98,4,1,2,412,7
271,22,1,177.31,4,1,1,411,6
272,16,10,3781.38,5,5,5,555,15
273,15,3,1339.41,5,3,4,534,12
274,2,35,24311.2,5,5,5,555,15
275,232,1,180.1,2,1,1,211,4
276,276,7,3747.84,2,4,5,245,11
277,106,2,641.13,3,2,3,323,8
278,212,4,5164.88,2,3,5,235,10
279,23,9,6620.48,4,5,5,455,14
280,11,7,4478.53,5,4,5,545,14
281,4,3,786.46,5,3,3,533,11
282,386,2,1558.22,2,2,4,224,8
283,10,2,1270.88,5,2,4,524,11
284,57,6,3481.57,4,4,5,445,13
285,521,2,804.88,1,2,3,123,6
286,59,7,5678.16,4,4,5,445,13
287,536,2,490.0,1,2,2,122,5
288,90,4,2930.41,3,3,5,335,11
289,739,1,141.0,1,1,1,111,3
290,67,12,8283.81,3,5,5,355,13
291,33,2,921.49,4,2,3,423,9
292,239,3,1312.37,2,3,4,234,9
293,24,3,1174.58,4,3,3,433,10
294,115,1,185.9,3,1,1,311,5
295,25,3,1013.26,4,3,3,433,10
296,128,12,8304.82,3,5,5,355,13
297,130,4,1918.49,3,3,4,334,10
298,34,8,3539.3,4,4,5,445,13
299,5,2,1346.97,5,2,4,524,11
300,22,36,16955.55,4,5,5,455,14
301,155,4,1112.0,3,3,3,333,9
302,107,8,2294.65,3,4,4,344,11
303,3,1,314.44,5,1,2,512,8
304,335,4,377.75,2,3,2,232,7
305,331,2,1017.03,2,2,3,223,7
306,149,3,4160.83,3,3,5,335,11
307,11,5,601.98,5,4,2,542,11
308,424,1,261.35,1,1,1,111,3
309,17,8,6407.83,5,4,5,545,14
310,11,4,1643.18,5,3,4,534,12
311,19,1,686.05,5,1,3,513,9
312,30,1,91.68,4,1,1,411,6
313,11,1,245.1,5,1,1,511,7
314,436,1,162.0,1,1,1,111,3
315,1,20,6726.54,5,5,5,555,15
316,625,2,239.4,1,2,1,121,4
317,8,11,6070.04,5,5,5,555,15
318,325,3,313.6,2,3,2,232,7
319,394,1,1248.42,2,1,4,214,7
320,58,1,620.13,4,1,3,413,8
321,12,10,11383.03,5,5,5,555,15
322,151,3,2744.0299999999997,3,3,4,334,10
323,10,7,3760.29,5,4,5,545,14
324,606,1,2622.481,1,1,4,114,6
325,330,2,437.05,2,2,2,222,6
326,5,3,1230.02,5,3,4,534,12
327,39,4,1970.6,4,3,4,434,11
328,554,2,957.25,1,2,3,123,6
329,25,11,2843.09,4,5,4,454,13
330,555,2,395.1,1,2,2,122,5
331,42,21,34281.18,4,5,5,455,14
332,59,4,1113.02,4,3,3,433,10
333,1,4,880.81,5,3,3,533,11
334,15,45,29834.76,5,5,5,555,15
335,4,52,22950.22,5,5,5,555,15
336,4,21,11633.7,5,5,5,555,15
337,8,7,2283.63,5,4,4,544,13
338,28,6,2863.08,4,4,4,444,12
339,372,1,89.14,2,1,1,211,4
340,481,2,2138.91,1,2,4,124,7
341,114,1,4873.8099999999995,3,1,5,315,9
342,26,2,1247.61,4,2,4,424,10
343,206,1,389.01,2,1,2,212,5
344,28,7,1170.4,4,4,3,443,11
345,637,1,110.95,1,1,1,111,3
346,127,7,1703.02,3,4,4,344,11
347,70,3,1843.35,3,3,4,334,10
348,7,7,1407.1200000000001,5,4,4,544,13
349,435,2,851.91,1,2,3,123,6
350,29,3,957.59,4,3,3,433,10
351,590,1,339.75,1,1,2,112,4
352,418,1,638.11,1,1,3,113,5
353,8,4,4939.99,5,3,5,535,13
354,80,6,2446.41,3,4,4,344,11
355,20,1,219.0,4,1,1,411,6
356,71,4,1006.53,3,3,3,333,9
357,7,8,2340.84,5,4,4,544,13
358,15,14,11762.1,5,5,5,555,15
359,292,1,603.42,2,1,2,212,5
360,30,18,5117.66,4,5,5,455,14
361,15,34,30291.76,5,5,5,555,15
362,97,3,1149.02,3,3,3,333,9
363,612,2,1339.05,1,2,4,124,7
364,29,21,6723.03,4,5,5,455,14
365,1,1,848.55,5,1,3,513,9
366,9,12,14093.71,5,5,5,555,15
367,106,1,343.36,3,1,2,312,6
368,4,2,1053.49,5,2,3,523,10
369,151,3,1308.91,3,3,4,334,10
370,71,1,238.25,3,1,1,311,5
371,5,2,644.95,5,2,3,523,10
372,3,30,7787.28,5,5,5,555,15
373,32,8,4013.08,4,4,5,445,13
374,85,4,997.63,3,3,3,333,9
375,4,5,725.07,5,4,3,543,12
376,5,7,2317.52,5,4,4,544,13
377,371,4,2266.76,2,3,4,234,9
378,28,11,4014.6,4,5,5,455,14
379,11,10,5679.53,5,5,5,555,15
380,71,5,1070.17,3,4,3,343,10
381,114,1,453.01,3,1,2,312,6
382,522,1,829.25,1,1,3,113,5
383,24,17,25775.71,4,5,5,455,14
384,180,1,236.26000000000002,3,1,1,311,5
385,234,4,2424.87,2,3,4,234,9
386,353,3,639.65,2,3,3,233,8
387,315,2,779.5699999999999,2,2,3,223,7
388,333,1,234.0,2,1,1,211,4
389,499,2,3710.5,1,2,5,125,8
390,372,1,155.35,2,1,1,211,4
391,78,4,2726.73,3,3,4,334,10
392,64,1,427.6,3,1,2,312,6
393,529,2,406.07,1,2,2,122,5
394,626,1,1201.52,1,1,3,113,5
395,134,2,540.13,3,2,2,322,7
396,52,11,25317.06,4,5,5,455,14
397,487,3,925.41,1,3,3,133,7
398,541,1,254.55,1,1,1,111,3
399,2,26,8898.48,5,5,5,555,15
400,1,336,53539.64,5,5,5,555,15
401,4,9,6897.36,5,5,5,555,15
402,129,1,275.88,3,1,1,311,5
403,445,1,268.27,1,1,1,111,3
404,81,1,4366.78,3,1,5,315,9
405,23,6,21429.39,4,4,5,445,13
406,236,3,3010.74,2,3,5,235,10
407,281,11,5236.259999999999,2,5,5,255,12
408,87,1,112.07999999999998,3,1,1,311,5
409,16,13,7834.650000000001,5,5,5,555,15
410,117,7,9903.24,3,4,5,345,12
411,52,8,5020.74,4,4,5,445,13
412,456,1,347.8,1,1,2,112,4
413,458,2,782.95,1,2,3,123,6
414,8,2,1898.52,5,2,4,524,11
415,138,2,494.08,3,2,2,322,7
416,317,1,1693.88,2,1,4,214,7
417,472,6,1404.58,1,4,4,144,9
418,4,9,8918.99,5,5,5,555,15
419,376,1,949.82,2,1,3,213,6
420,451,1,168.69000000000003,1,1,1,111,3
421,239,1,1143.6,2,1,3,213,6
422,211,2,3246.45,2,2,5,225,9
423,486,1,282.3,1,1,1,111,3
424,60,1,892.47,3,1,3,313,7
425,564,1,124.25,1,1,1,111,3
426,536,1,98.7,1,1,1,111,3
427,17,7,1686.12,5,4,4,544,13
428,668,1,55.5,1,1,1,111,3
429,458,1,519.45,1,1,2,112,4
430,20,9,1775.68,4,5,4,454,13
431,38,14,6474.11,4,5,5,455,14
432,599,1,337.4,1,1,2,112,4
433,64,2,826.74,3,2,3,323,8
434,5,11,4618.24,5,5,5,555,15
435,2,6,2225.91,5,4,4,544,13
436,9,3,1763.15,5,3,4,534,12
437,364,3,1100.4,2,3,3,233,8
438,610,1,728.5,1,1,3,113,5
439,10,4,862.18,5,3,3,533,11
440,463,4,444.9,1,3,2,132,6
441,65,3,273.35,3,3,1,331,7
442,192,2,591.85,2,2,2,222,6
443,374,6,863.51,2,4,3,243,9
444,257,2,827.01,2,2,3,223,7
445,335,3,885.53,2,3,3,233,8
446,53,2,860.41,4,2,3,423,9
447,19,1,430.48,5,1,2,512,8
448,628,1,381.0,1,1,2,112,4
449,366,2,552.08,2,2,2,222,6
450,10,4,8510.93,5,3,5,535,13
451,529,1,219.35,1,1,1,111,3
452,470,3,584.25,1,3,2,132,6
453,501,1,1071.82,1,1,3,113,5
454,187,7,2416.42,3,4,4,344,11
455,393,1,1092.81,2,1,3,213,6
456,466,2,325.37,1,2,2,122,5
457,382,4,1434.95,2,3,4,234,9
458,435,4,2878.96,1,3,4,134,8
459,383,1,330.35,2,1,2,212,5
460,37,5,776.7,4,4,3,443,11
461,178,3,1755.94,3,3,4,334,10
462,535,2,534.99,1,2,2,122,5
463,261,5,1033.9,2,4,3,243,9
464,45,1,229.64000000000001,4,1,1,411,6
465,502,3,1687.8,1,3,4,134,8
466,102,1,125.92,3,1,1,311,5
467,148,2,1063.46,3,2,3,323,8
468,96,2,572.2,3,2,2,322,7
469,281,3,690.98,2,3,3,233,8
470,262,1,1542.08,2,1,4,214,7
471,458,1,540.52,1,1,2,112,4
472,3,11,2689.52,5,5,4,554,14
473,214,2,220.8,2,2,1,221,5
474,71,2,948.88,3,2,3,323,8
475,75,18,6501.5,3,5,5,355,13
476,60,1,397.12,3,1,2,312,6
477,521,2,518.63,1,2,2,122,5
478,3,12,2800.75,5,5,4,554,14
479,6,3,430.15000000000003,5,3,2,532,10
480,3,6,1018.71,5,4,3,543,12
481,337,3,385.3,2,3,2,232,7
482,38,6,6814.64,4,4,5,445,13
483,262,3,451.11,2,3,2,232,7
484,32,2,383.03,4,2,2,422,8
485,145,1,417.38,3,1,2,312,6
486,283,1,312.38,2,1,2,212,5
487,428,41,5996.83,1,5,5,155,11
488,59,15,6559.7300000000005,4,5,5,455,14
489,173,2,662.66,3,2,3,323,8
490,34,10,2975.91,4,5,5,455,14
491,3,26,9669.12,5,5,5,555,15
492,144,7,4041.97,3,4,5,345,12
493,5,40,6958.2,5,5,5,555,15
494,70,4,1917.99,3,3,4,334,10
495,66,30,6583.36,3,5,5,355,13
496,29,4,648.6,4,3,3,433,10
497,267,4,354.09,2,3,2,232,7
498,682,1,15.58,1,1,1,111,3
499,22,2,1609.0,4,2,4,424,10
500,676,1,208.0,1,1,1,111,3
501,31,6,3042.47,4,4,5,445,13
502,446,1,330.0,1,1,2,112,4
503,97,2,280.76,3,2,1,321,6
504,295,1,311.55,2,1,2,212,5
505,135,11,3907.5,3,5,5,355,13
506,79,7,2970.9700000000003,3,4,5,345,12
507,373,4,612.84,2,3,3,233,8
508,8,6,2170.78,5,4,4,544,13
509,211,6,3688.0,2,4,5,245,11
510,383,1,147.27,2,1,1,211,4
511,459,1,575.1,1,1,2,112,4
512,693,1,54.22,1,1,1,111,3
513,620,1,68.25,1,1,1,111,3
514,426,2,984.62,1,2,3,123,6
515,52,6,2792.5499999999997,4,4,4,444,12
516,138,2,299.57,3,2,2,322,7
517,26,4,3323.47,4,3,5,435,12
518,283,3,1227.35,2,3,4,234,9
519,26,13,7829.26,4,5,5,455,14
520,186,8,2043.76,3,4,4,344,11
521,682,1,337.66999999999996,1,1,2,112,4
522,375,3,1676.95,2,3,4,234,9
523,84,3,744.02,3,3,3,333,9
524,327,12,3283.96,2,5,5,255,12
525,282,3,2027.3,2,3,4,234,9
526,385,2,948.42,2,2,3,223,7
527,143,5,1356.99,3,4,4,344,11
528,58,4,4081.79,4,3,5,435,12
529,4,20,2942.14,5,5,5,555,15
530,236,2,854.99,2,2,3,223,7
531,45,3,573.22,4,3,2,432,9
532,382,2,640.13,2,2,3,223,7
533,276,1,298.0,2,1,2,212,5
534,9,2,1463.04,5,2,4,524,11
535,25,4,703.47,4,3,3,433,10
536,88,1,309.05,3,1,2,312,6
537,63,3,1175.22,3,3,3,333,9
538,68,2,1378.4,3,2,4,324,9
539,384,1,222.4,2,1,1,211,4
540,214,2,354.12,2,2,2,222,6
541,381,4,385.46000000000004,2,3,2,232,7
542,24,2,706.02,4,2,3,423,9
543,186,11,840.5,3,5,3,353,11
544,397,1,263.38,2,1,1,211,4
545,31,1,176.55,4,1,1,411,6
546,575,1,157.35,1,1,1,111,3
547,42,2,372.8,4,2,2,422,8
548,205,4,514.25,2,3,2,232,7
549,464,2,296.21000000000004,1,2,2,122,5
550,414,1,366.4,1,1,2,112,4
551,422,1,340.33,1,1,2,112,4
552,9,28,17654.54,5,5,5,555,15
553,265,1,138.68,2,1,1,211,4
554,429,1,833.53,1,1,3,113,5
555,18,2,496.06,5,2,2,522,9
556,577,2,1018.42,1,2,3,123,6
557,12,5,2919.81,5,4,5,545,14
558,396,2,508.91,2,2,2,222,6
559,176,5,1776.0,3,4,4,344,11
560,40,8,3103.19,4,4,5,445,13
561,23,13,5796.52,4,5,5,455,14
562,552,1,1651.72,1,1,4,114,6
563,3,5,1662.3,5,4,4,544,13
564,5,13,6283.24,5,5,5,555,15
565,401,1,223.98,2,1,1,211,4
566,149,4,975.1,3,3,3,333,9
567,139,7,4479.73,3,4,5,345,12
568,128,6,4359.2,3,4,5,345,12
569,626,1,10953.5,1,1,5,115,7
570,8,6,1335.19,5,4,4,544,13
571,17,4,486.64,5,3,2,532,10
572,9,74,35233.24,5,5,5,555,15
573,161,1,405.38,3,1,2,312,6
574,64,3,770.42,3,3,3,333,9
575,88,12,2469.4,3,5,4,354,12
576,5,3,729.3299999999999,5,3,3,533,11
577,411,4,1523.97,1,3,4,134,8
578,395,1,197.31,2,1,1,211,4
579,35,12,4304.89,4,5,5,455,14
580,312,1,117.85,2,1,1,211,4
581,78,2,415.8,3,2,2,322,7
582,22,57,92347.34,4,5,5,455,14
583,539,8,1698.56,1,4,4,144,9
584,24,8,1636.6299999999999,4,4,4,444,12
585,737,1,181.65,1,1,1,111,3
586,2,15,4243.86,5,5,5,555,15
587,17,4,1063.9,5,3,3,533,11
588,15,9,3097.61,5,5,5,555,15
589,26,1,114.14,4,1,1,411,6
590,64,20,25264.8,3,5,5,355,13
591,55,2,899.69,4,2,3,423,9
592,724,1,377.49,1,1,2,112,4
593,131,3,675.6,3,3,3,333,9
594,558,2,496.5,1,2,2,122,5
595,36,2,604.51,4,2,2,422,8
596,288,2,900.11,2,2,3,223,7
597,437,1,324.45,1,1,2,112,4
598,144,6,1603.99,3,4,4,344,11
599,16,9,2317.43,5,5,4,554,14
600,31,22,15526.7,4,5,5,455,14
601,2,3,1843.0,5,3,4,534,12
602,9,15,3213.7200000000003,5,5,5,555,15
603,6,4,1387.79,5,3,4,534,12
604,10,2,828.8100000000001,5,2,3,523,10
605,639,1,162.45,1,1,1,111,3
606,1,11,4757.16,5,5,5,555,15
607,306,4,521.89,2,3,2,232,7
608,10,13,8706.97,5,5,5,555,15
609,400,2,467.34,2,2,2,222,6
610,484,1,150.95,1,1,1,111,3
611,414,4,1322.07,1,3,4,134,8
612,379,1,211.99,2,1,1,211,4
613,7,2,266.39,5,2,1,521,8
614,8,12,3235.79,5,5,5,555,15
615,437,1,132.24,1,1,1,111,3
616,89,1,769.8100000000001,3,1,3,313,7
617,10,1,160.18,5,1,1,511,7
618,358,3,2938.52,2,3,5,235,10
619,112,1,135.95,3,1,1,311,5
620,603,1,122.45,1,1,1,111,3
621,7,10,1453.6,5,5,4,554,14
622,4,116,15704.6,5,5,5,555,15
623,414,4,1161.2,1,3,3,133,7
624,414,1,385.55,1,1,2,112,4
625,198,2,408.95,2,2,2,222,6
626,437,6,2100.09,1,4,4,144,9
627,212,8,3156.38,2,4,5,245,11
628,156,4,513.88,3,3,2,332,8
629,385,5,2502.82,2,4,4,244,10
630,729,1,517.7,1,1,2,112,4
631,158,21,16245.78,3,5,5,355,13
632,30,2,372.21999999999997,4,2,2,422,8
633,243,8,2744.81,2,4,4,244,10
634,598,1,490.08000000000004,1,1,2,112,4
635,19,1,97.5,5,1,1,511,7
636,1,2,1239.38,5,2,4,524,11
637,429,10,2729.84,1,5,4,154,10
638,74,5,1312.21,3,4,4,344,11
639,292,1,505.82,2,1,2,212,5
640,3,33,13551.75,5,5,5,555,15
641,31,7,955.5,4,4,3,443,11
642,23,3,764.82,4,3,3,433,10
643,725,1,93.35000000000001,1,1,1,111,3
644,23,8,1259.6299999999999,4,4,4,444,12
645,4,3,974.4200000000001,5,3,3,533,11
646,85,1,211.32,3,1,1,311,5
647,376,1,355.5,2,1,2,212,5
648,22,8,2110.91,4,4,4,444,12
649,493,3,920.08,1,3,3,133,7
650,196,3,455.88,2,3,2,232,7
651,107,4,1032.5,3,3,3,333,9
652,4,33,24042.65,5,5,5,555,15
653,318,3,414.13,2,3,2,232,7
654,106,3,149.05,3,3,1,331,7
655,12,36,11650.85,5,5,5,555,15
656,174,4,999.68,3,3,3,333,9
657,56,1,81.57,4,1,1,411,6
658,580,1,175.25,1,1,1,111,3
659,323,3,612.13,2,3,3,233,8
660,673,1,234.0,1,1,1,111,3
661,374,2,330.12,2,2,2,222,6
662,372,1,50.550000000000004,2,1,1,211,4
663,9,11,2957.83,5,5,5,555,15
664,1,29,11097.43,5,5,5,555,15
665,11,11,5381.08,5,5,5,555,15
666,53,11,6579.78,4,5,5,455,14
